Date,Price,Open,High,Low,Vol.,Change %
"Nov 10, 2021",2930.17,2947.46,2958.61,2924.36,570.93M,-1.09%
"Nov 09, 2021",2962.46,2958.15,2987.28,2949.17,708.77M,0.08%
"Nov 08, 2021",2960.2,2965.36,2968.18,2930.9,560.20M,-0.31%
"Nov 05, 2021",2969.27,3003.53,3003.53,2953.96,688.03M,-0.47%
"Nov 04, 2021",2983.22,3000.92,3011.56,2978.07,772.02M,0.25%
"Nov 03, 2021",2975.71,3020.36,3020.87,2969.01,658.65M,-1.25%
"Nov 02, 2021",3013.49,2995.58,3034.3,2995.58,525.85M,1.16%
"Nov 01, 2021",2978.94,2984.18,2991.81,2976.87,475.38M,0.28%
"Oct 29, 2021",2970.68,3025.67,3030.17,2965.4,545.83M,-1.29%
"Oct 28, 2021",3009.55,3023.17,3034.42,3009.55,617.26M,-0.53%
"Oct 27, 2021",3025.49,3045.83,3049.02,3019,607.88M,-0.77%
"Oct 26, 2021",3049.08,3039.82,3051.65,3030.53,564.56M,0.94%
"Oct 25, 2021",3020.54,3001.1,3025.27,2983.29,791.80M,0.48%
"Oct 22, 2021",3006.16,3005.36,3018.7,2996.26,695.27M,-0.04%
"Oct 21, 2021",3007.33,3012.28,3025.88,3002.74,887.37M,-0.19%
"Oct 20, 2021",3013.13,3043.13,3047.24,3012.97,680.33M,-0.53%
"Oct 19, 2021",3029.04,3022.23,3034.53,3014.19,845.70M,0.74%
"Oct 18, 2021",3006.68,3017.48,3021.17,2990.44,926.37M,-0.28%
"Oct 15, 2021",3015.06,3012.62,3021.9,2999.33,857.80M,0.88%
"Oct 14, 2021",2988.64,2968.87,2988.97,2962.33,617.17M,1.50%
"Oct 13, 2021",2944.41,2913.34,2953.33,2909.47,752.13M,0.96%
"Oct 12, 2021",2916.38,2950.22,2950.94,2901.51,660.18M,-1.35%
"Oct 08, 2021",2956.3,2977.82,2978.08,2949.01,668.95M,-0.11%
"Oct 07, 2021",2959.46,2936.87,2961.53,2927.6,595.38M,1.76%
"Oct 06, 2021",2908.31,2986.06,2993.47,2908.3,901.72M,-1.82%
"Oct 05, 2021",2962.17,2998.17,2998.17,2940.59,840.56M,-1.89%
"Oct 01, 2021",3019.18,3056.21,3062.6,3015.01,855.48M,-1.62%
"Sep 30, 2021",3068.82,3054.87,3079.43,3046.43,885.82M,0.28%
"Sep 29, 2021",3060.27,3055.5,3069.04,3030.6,821.56M,-1.22%
"Sep 28, 2021",3097.92,3133.4,3134.46,3095.72,894.91M,-1.14%
"Sep 27, 2021",3133.64,3121.7,3146.35,3119.26,883.23M,0.27%
"Sep 24, 2021",3125.24,3140.73,3146.86,3119.4,753.22M,-0.07%
"Sep 23, 2021",3127.58,3123.64,3131.63,3107.98,623.84M,-0.41%
"Sep 17, 2021",3140.51,3127.75,3142.13,3112.51,589.24M,0.33%
"Sep 16, 2021",3130.09,3165.38,3167.68,3126.65,612.87M,-0.74%
"Sep 15, 2021",3153.4,3147.21,3164.01,3138.8,616.56M,0.15%
"Sep 14, 2021",3148.83,3137.32,3164.31,3137.32,713.23M,0.67%
"Sep 13, 2021",3127.86,3117.35,3139.13,3109.01,732.27M,0.07%
"Sep 10, 2021",3125.76,3121.09,3131.54,3103.38,723.08M,0.36%
"Sep 09, 2021",3114.7,3146.64,3158.6,3111.49,927.37M,-1.53%
"Sep 08, 2021",3162.99,3178.74,3187.55,3157.07,859.89M,-0.77%
"Sep 07, 2021",3187.42,3200.07,3201.76,3176.81,760.16M,-0.50%
"Sep 06, 2021",3203.33,3196.3,3206.25,3186.79,726.19M,0.07%
"Sep 03, 2021",3201.06,3189.71,3203.08,3181.64,641.51M,0.79%
"Sep 02, 2021",3175.85,3198.03,3204.01,3171.78,757.86M,-0.97%
"Sep 01, 2021",3207.02,3195.67,3215.13,3185.8,746.71M,0.24%
"Aug 31, 2021",3199.27,3144.49,3199.89,3130.3,661.22M,1.75%
"Aug 30, 2021",3144.19,3160.87,3164.87,3132.77,602.86M,0.33%
"Aug 27, 2021",3133.9,3116.29,3143.01,3106.97,520.67M,0.17%
"Aug 26, 2021",3128.53,3151.3,3159.37,3121.04,727.72M,-0.58%
"Aug 25, 2021",3146.81,3148.13,3161,3124.25,624.69M,0.27%
"Aug 24, 2021",3138.3,3119.7,3142.58,3115.23,586.53M,1.56%
"Aug 23, 2021",3090.21,3086.81,3111.81,3064.65,570.98M,0.97%
"Aug 20, 2021",3060.51,3111.1,3122.09,3049.03,672.09M,-1.20%
"Aug 19, 2021",3097.83,3140.01,3158,3097.83,655.63M,-1.93%
"Aug 18, 2021",3158.93,3141.98,3175.88,3124.56,622.79M,0.50%
"Aug 17, 2021",3143.09,3169.74,3179.49,3134.48,690.84M,-0.89%
"Aug 13, 2021",3171.29,3205.75,3209.72,3146.76,696.47M,-1.16%
"Aug 12, 2021",3208.38,3213.58,3229.59,3202.11,643.28M,-0.38%
"Aug 11, 2021",3220.62,3235.36,3250.21,3217.65,618.09M,-0.70%
"Aug 10, 2021",3243.19,3272.44,3272.44,3232.46,730.35M,-0.53%
"Aug 09, 2021",3260.42,3258.1,3275.15,3251.74,707.65M,-0.30%
"Aug 06, 2021",3270.36,3277.06,3288.17,3261.93,941.36M,-0.18%
